Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
A0A183IZB9,58,,Homeobox domain-containing protein,Soboliphyme baturini,241478,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A226EKC4,43,,Homeobox protein EMX2,Folsomia candida (Springtail),158441,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1G2F6,58,20215254,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"brain development, central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1JR94,58,107370540,Homeobox domain-containing protein,Tetranychus urticae (Two-spotted spider mite),32264,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A183TC72,47,,Homeobox domain-containing protein,Schistocephalus solidus (Tapeworm),70667,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A444UBV0,49,,Homeobox protein EMX2,Acipenser ruthenus (Sterlet sturgeon),7906,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A443RQ81,46,,Retinal homeobox protein Rx2-like protein,Dinothrombium tinctorium,1965070,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6J8EZB9,58,,VAX,Mytilus coruscus (Sea mussel),42192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,"embryonic eye morphogenesis, visual perception, Wnt signaling pathway",Wnt signaling pathway,Nucleus,nan,nan,nan,Reference proteome,nan
A0A210QQK3,58,,Ventral anterior homeobox 2a,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,"embryonic eye morphogenesis, visual perception",nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1IV45,58,,Homeobox domain-containing protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,"embryonic eye morphogenesis, visual perception, Wnt signaling pathway",Wnt signaling pathway,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2T7P9S4,58,,Homeobox domain-containing protein,Pomacea canaliculata (Golden apple snail),400727,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,"embryonic eye morphogenesis, visual perception, Wnt signaling pathway",Wnt signaling pathway,Nucleus,nan,nan,nan,Reference proteome,nan
V4AQ81,58,20252370,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,"embryonic eye morphogenesis, visual perception",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A5N5TEF0,58,,Ventral anterior homeobox 1,Armadillidium nasatum,96803,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,"embryonic eye morphogenesis, visual perception, Wnt signaling pathway",Wnt signaling pathway,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3R7PG01,45,,Putative ventral anterior homeobox 2b-like,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,"DNA binding, DNA-binding transcription factor activity",DNA-binding,"embryonic eye morphogenesis, regulation of transcription by RNA polymerase II, visual perception",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A662YS11,58,,Ventral anterior homeobox 1,Acipenser ruthenus (Sterlet sturgeon),7906,"DNA binding, DNA-binding transcription factor activity",DNA-binding,"axon guidance, brain development",nan,Nucleus,nan,nan,nan,Reference proteome,nan
C3XQ73,58,,Ventral anterior homeobox,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"central nervous system development, embryonic eye morphogenesis, neuron differentiation, regulation of transcription by RNA polymerase II, visual perception",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A7SGR9,58,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2B4RVR3,58,,Homeobox protein EMX1,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0V0YPU0,58,,Solute carrier family 35 member F6,Trichinella pseudospiralis (Parasitic roundworm),6337,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,"Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A0A0N4W6J2,58,,Homeobox domain-containing protein,Haemonchus placei (Barber's pole worm),6290,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A158PDU1,58,,Homeobox domain-containing protein,Angiostrongylus costaricensis (Nematode worm),334426,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0D8XW26,44,,Homeobox domain protein,Dictyocaulus viviparus (Bovine lungworm),29172,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2A2JAK2,58,,Homeobox domain-containing protein,Diploscapter pachys,2018661,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
P20269,58,191616,Homeobox protein ceh-5,Caenorhabditis elegans,6239,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","Developmental protein, DNA-binding","central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4X3PH99,58,,Ceh-5,Pristionchus pacificus (Parasitic nematode),54126,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A077ZLP3,58,,Homeobox domain containing protein,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,"embryonic eye morphogenesis, visual perception, Wnt signaling pathway",Wnt signaling pathway,Nucleus,nan,nan,nan,Reference proteome,nan
A0A444UN50,58,,Homeobox protein not2,Acipenser ruthenus (Sterlet sturgeon),7906,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P4SPL9,58,,Homeobox domain-containing protein,Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica),9083,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3M0JRH6,58,,Homeobox domain-containing protein,Hirundo rustica rustica,333673,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
S4RUW0,47,,Homeobox domain-containing protein,Petromyzon marinus (Sea lamprey),7757,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1ELB4,58,20197364,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
V4AT90,58,20252475,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A210QHN8,58,,Homeobox protein not2,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A7RH67,58,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
C3YRE8,58,,Notochord homeobox-like protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1S3J6N7,58,106170567,homeobox protein Nkx-6.3,Lingula unguis,7574,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
H9J2S4,58,,Homeobox domain-containing protein,Bombyx mori (Silk moth),7091,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
V8NA88,58,,Homeobox protein not2,Ophiophagus hannah (King cobra) (Naja hannah),8665,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2G9R3H7,58,,Homeobox protein not2,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
Q9XYH5,58,373359,Homeodomain protein Not,Strongylocentrotus purpuratus (Purple sea urchin),7668,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
E9H422,58,,Homeobox domain-containing protein,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A226E685,44,,Homeobox protein not2,Folsomia candida (Springtail),158441,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A132A6Q3,57,,GrpE protein homolog,Sarcoptes scabiei (Itch mite) (Acarus scabiei),52283,"adenyl-nucleotide exchange factor activity, chaperone binding, DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, protein homodimerization activity","Chaperone, DNA-binding",protein folding,nan,"Mitochondrion, Nucleus",nan,nan,nan,Reference proteome,nan
A7SHE5,58,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A7SCX0,58,5510067,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2B4S6W0,58,,Homeobox protein not2,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
B3SAY6,58,6758610,Not homeobox transcription factor,Trichoplax adhaerens (Trichoplax reptans),10228,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3M7P248,58,,Homeobox not2,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
F6X3H1,58,,Homeobox domain-containing protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1Y3APD1,52,,Homeobox domain-containing protein,Euroglyphus maynei (Mayne's house dust mite),6958,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2B4S877,58,,Homeobox protein not2,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A7RLN9,58,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2B4SLU2,58,,Homeobox protein not2,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3R7PRH6,58,,Putative homeobox protein Nkx-6.1,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
E4X7E3,58,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A444UUT2,58,,Homeobox protein not2,Acipenser ruthenus (Sterlet sturgeon),7906,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6A4XG15,58,,Homeobox protein not2,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
